time,ax,ay,az,atotal
0.0034317970275878906,0.14,0.05,-0.05,0.15
0.0059468746185302734,-0.04,-0.08,-0.05,0.1
0.0074689388275146484,0.05,-0.04,-0.12,0.13
0.01046609878540039,0.23,0.03,-0.2,0.3
0.01302480697631836,0.17,0.01,-0.26,0.31
0.01547384262084961,-0.02,-0.04,-0.25,0.25
0.01700305938720703,-0.06,0.04,-0.17,0.18
0.03781700134277344,-0.08,-0.01,-0.14,0.16
0.03936576843261719,-0.07,-0.01,-0.17,0.18
0.04323387145996094,-0.05,0.03,-0.2,0.2
0.10081791877746582,-0.02,0.06,-0.2,0.2
0.10311603546142578,-0.06,0.04,-0.17,0.18
0.10463285446166992,-0.07,0.04,-0.14,0.16
0.10689091682434082,0.03,-0.02,-0.13,0.13
0.10941600799560547,0.03,-0.02,-0.14,0.14
0.11159276962280273,0.0,0.04,-0.13,0.13
0.11529684066772461,0.01,0.07,-0.11,0.13
0.12332582473754883,0.08,0.07,-0.09,0.13
0.13315296173095703,0.11,0.04,-0.1,0.15
0.14348983764648438,0.12,-0.11,-0.07,0.17
0.20151376724243164,0.16,-0.08,-0.07,0.19
0.20367002487182617,0.23,0.06,-0.1,0.25
0.2052149772644043,0.24,0.05,-0.12,0.27
0.20794200897216797,0.21,-0.02,-0.1,0.23
0.21043682098388672,0.22,-0.07,-0.1,0.25
0.2128467559814453,0.23,-0.09,-0.13,0.27
0.21576881408691406,0.22,-0.08,-0.17,0.28
0.22320079803466797,0.25,-0.04,-0.17,0.3
0.23632383346557617,0.21,0.0,-0.2,0.29
0.24322175979614258,0.05,0.04,-0.19,0.2
0.3011207580566406,-0.12,0.08,-0.18,0.23
0.30350303649902344,-0.22,0.09,-0.13,0.27
0.30508995056152344,-0.23,0.11,-0.15,0.29
0.31846189498901367,-0.26,0.11,-0.21,0.35
0.3199338912963867,-0.28,0.09,-0.23,0.37
0.32296276092529297,-0.21,0.05,-0.2,0.29
0.3257749080657959,-0.17,0.01,-0.19,0.25
0.32837390899658203,-0.15,-0.02,-0.16,0.22
0.3331329822540283,-0.06,-0.02,-0.13,0.14
0.3433680534362793,0.07,-0.04,-0.12,0.14
0.40015196800231934,0.11,-0.04,-0.12,0.16
0.40245485305786133,0.16,-0.02,-0.05,0.16
0.4038369655609131,0.26,-0.02,-0.03,0.26
0.40637683868408203,0.3,-0.04,-0.05,0.3
0.4089009761810303,0.28,-0.02,-0.07,0.28
0.4114539623260498,0.28,0.0,-0.05,0.28
0.4147038459777832,0.26,0.02,-0.06,0.26
0.42319393157958984,0.22,0.02,-0.11,0.24
0.433168888092041,0.2,0.02,-0.12,0.23
0.4433479309082031,0.18,0.04,-0.15,0.23
0.5011110305786133,0.11,0.05,-0.19,0.22
0.5032157897949219,-0.03,0.04,-0.19,0.19
0.5047059059143066,-0.11,0.03,-0.17,0.2
0.5075550079345703,-0.15,0.02,-0.16,0.22
0.5099048614501953,-0.22,0.02,-0.18,0.28
0.512272834777832,-0.24,0.01,-0.18,0.3
0.5145230293273926,-0.24,0.01,-0.14,0.27
0.5229959487915039,-0.19,0.02,-0.13,0.23
0.5333647727966309,-0.12,0.03,-0.16,0.2
0.5429329872131348,-0.08,0.01,-0.15,0.17
0.6011910438537598,-0.07,0.01,-0.16,0.17
0.6033821105957031,-0.05,0.04,-0.15,0.16
0.6049308776855469,-0.03,0.05,-0.13,0.14
0.6205759048461914,0.0,0.05,-0.15,0.15
0.6220340728759766,0.05,0.04,-0.15,0.16
0.6248049736022949,0.03,0.05,-0.17,0.17
0.627479076385498,0.02,0.03,-0.18,0.18
0.6299958229064941,0.04,0.0,-0.16,0.16
0.6330227851867676,0.1,0.0,-0.14,0.17
0.6432547569274902,0.13,0.03,-0.17,0.21
0.7002179622650146,0.08,0.03,-0.16,0.18
0.7017879486083984,0.04,0.0,-0.13,0.13
0.7033679485321045,0.02,-0.02,-0.12,0.12
0.7064437866210938,-0.01,-0.01,-0.11,0.11
0.7090668678283691,0.0,-0.01,-0.09,0.09
0.7114448547363281,0.05,-0.02,-0.09,0.1
0.7149748802185059,0.08,-0.01,-0.1,0.12
0.7230920791625977,0.04,0.02,-0.1,0.1
0.7329277992248535,-0.05,0.05,-0.14,0.15
0.743304967880249,-0.13,0.03,-0.16,0.2
0.8003768920898438,-0.11,-0.01,-0.13,0.17
0.8029448986053467,-0.09,-0.02,-0.1,0.13
0.8044919967651367,-0.09,0.0,-0.08,0.12
0.8071639537811279,-0.03,0.04,-0.06,0.07
0.8097219467163086,0.03,0.0,-0.11,0.11
0.8124637603759766,0.06,-0.02,-0.14,0.15
0.8150429725646973,-0.02,0.02,-0.18,0.18
0.8229138851165771,-0.12,0.03,-0.18,0.21
