time,ax,ay,az,atotal
0.011758,0.2567,-1.2645,-2.0991,2.464
0.032598,-0.1706,-1.2362,-4.0979,4.284
0.053347,0.9561,-0.3178,-3.5588,3.699
0.071646,2.6422,0.7691,-2.0594,3.437
0.092180,2.7352,1.2191,-0.4592,3.030
0.111545,1.4401,1.0982,-1.2398,2.195
0.133666,-0.1206,0.0358,-4.1560,4.158
0.152212,-0.4022,0.0732,-4.9130,4.930
0.180296,-1.0694,0.1584,-2.7507,2.956
0.190942,-1.3235,-0.1269,-2.1180,2.501
0.213025,-0.3866,-0.1337,-2.7134,2.744
0.232441,0.6116,0.6456,-2.2194,2.391
0.254035,0.5366,1.1273,-0.8028,1.484
0.279787,0.3158,0.8985,-0.3399,1.011
0.292650,0.4608,0.2661,1.2128,1.324
0.311998,-1.1467,-0.3590,5.4933,5.623
0.334635,0.2947,0.5480,11.6010,11.618
0.351809,0.8308,-1.1786,6.9104,7.059
0.373728,0.4297,-2.2112,-1.3029,2.602
0.395380,-1.6115,-3.2582,-0.2360,3.643
0.413689,-5.6357,-6.2490,0.7571,8.449
0.432741,-3.4893,-6.1476,3.9456,8.095
0.454654,0.6403,-4.6677,-0.7482,4.770
0.472314,6.3347,-2.3776,-4.9929,8.409
0.494971,11.0219,1.7394,2.6012,11.458
0.511933,2.6127,-0.0680,1.3490,2.941
0.535578,-2.5964,-2.8305,-5.9004,7.040
0.552484,-0.9706,0.0721,-0.7340,1.219
0.575318,-5.3150,0.2103,-0.1158,5.320
0.592926,-6.4269,-0.5015,-4.3294,7.765
0.614572,-2.2623,1.1355,-2.5279,3.577
0.636370,0.1482,3.4157,2.7591,4.393
0.655667,3.7575,6.7802,7.5464,10.818
0.676413,4.4635,6.0305,4.0889,8.545
0.696202,1.9194,3.7499,-0.7576,4.280
0.716489,1.3866,3.4290,-1.2411,3.901
0.734405,-0.6791,3.1863,-0.0888,3.259
0.755338,-2.5302,2.3920,-0.4399,3.510
0.775405,-2.8448,1.7039,0.4449,3.346
0.796300,-0.7157,2.2338,1.4775,2.772
0.816657,2.3205,2.7878,2.5572,4.438
0.836387,0.5959,-0.4296,0.7885,1.078
0.856582,-1.0409,-0.2056,-1.0218,1.473
0.876462,-3.1482,-0.0991,1.4805,3.480
0.896848,-0.9101,0.6215,1.0112,1.496
0.915078,-2.4010,-0.5939,-0.1899,2.481
0.935448,-2.2691,-1.1418,-0.3593,2.566
0.955970,-2.4637,-1.3600,-1.6147,3.244
0.977023,-0.3714,-3.0990,0.0791,3.122
0.996122,3.3938,-1.4389,3.1164,4.827
1.017313,2.2370,-1.6505,-1.1768,3.019
1.035697,-1.2691,-5.6861,-2.1029,6.194
1.056941,-2.7529,-8.1129,-0.0154,8.567
1.076298,-5.4363,-9.4227,2.1500,11.089
1.096718,-1.7077,-3.3429,4.0241,5.503
1.116821,-0.8789,4.2429,3.8351,5.786
1.136333,1.8111,3.0316,-1.6583,3.901
1.155927,5.5345,2.0444,-12.2962,13.638
1.176676,4.6943,3.9671,-2.8154,6.760
1.195432,4.0011,3.9650,1.0351,5.727
1.215373,6.9746,5.5057,-9.2070,12.796
1.237122,4.1056,2.9092,-2.1548,5.474
1.255994,1.0825,2.3638,6.0005,6.539
1.276626,3.0747,1.9688,0.8054,3.739
1.296928,3.4377,6.2674,0.5845,7.172
1.316365,2.2775,8.4846,0.7185,8.814
1.337036,1.3778,2.7498,-0.3163,3.092
1.356763,-1.4269,-1.8097,-0.1670,2.311
1.377561,-5.2811,-3.7465,1.4808,6.642
1.397198,-5.3045,-6.7742,8.0766,11.801
1.417187,-3.8143,-7.3654,9.4015,12.537
1.439149,-0.3013,-1.9681,3.7235,4.222
1.457951,3.7175,1.8969,-2.3276,4.779
1.479554,4.3509,2.5897,-7.6056,9.137
1.498937,10.1449,1.8492,-4.5078,11.254
1.538244,4.5089,-0.9630,2.5181,5.253
1.538529,-3.0829,1.5355,-3.2703,4.749
1.561073,-0.9428,1.4004,-10.8601,10.991
1.578425,0.7483,-3.7659,-8.2599,9.109
1.600530,0.0409,-5.5560,-3.6951,6.673
1.619187,-3.3831,-10.5980,-5.0407,12.214
