time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.011862,-0.3036,-1.7955,-2.6012,3.175
0.031818,-1.5131,-2.0457,-1.3955,2.902
0.051953,-1.3021,-1.6208,-0.1650,2.086
0.072497,-1.5608,-1.5812,0.3140,2.244
0.092342,-1.8718,-1.8072,-1.1623,2.850
0.112417,-2.0454,-1.8683,-3.2048,4.236
0.132231,-0.3385,-2.0982,-5.9435,6.312
0.152772,1.6535,-1.8364,-8.4464,8.800
0.172609,2.4115,-0.8680,-5.8694,6.405
0.192655,1.4191,-1.8502,2.0213,3.086
0.212742,-0.7655,-1.9216,5.8968,6.249
0.233043,-0.6030,-3.0552,-0.0977,3.116
0.252972,6.1897,-4.3685,-8.0949,11.087
0.273233,-0.3655,-4.4843,3.7655,5.867
0.293460,-5.4925,-10.0321,9.7206,15.010
0.313439,-4.9162,-5.5953,5.9044,9.505
0.344975,0.4347,0.6458,8.0605,8.098
0.353534,5.1623,4.1411,13.3714,14.920
0.373288,1.9384,-0.1493,10.3351,10.516
0.393630,-5.6174,-4.3364,-3.1732,7.774
0.413577,-5.0599,-3.2953,-5.6907,8.297
0.433668,-4.7716,-2.7998,-2.2290,5.965
0.453890,-5.1061,-1.5300,0.0157,5.330
0.473589,-2.9128,0.9762,-1.9494,3.638
0.494149,1.8455,3.0709,-7.1166,7.968
0.513830,2.0841,3.2013,-7.6257,8.529
0.534120,-3.9118,1.2029,-0.8384,4.178
0.553779,-5.2023,2.4509,3.1715,6.567
0.574489,-1.6220,2.2263,-0.5931,2.818
0.593921,-1.7302,2.7522,0.8493,3.360
0.614582,-3.2207,2.5948,4.1343,5.848
0.634029,-2.9284,1.9031,0.7935,3.581
0.654870,-0.5280,1.2690,-3.4086,3.675
0.674106,1.5746,0.7755,-2.7593,3.270
0.695893,0.0124,-0.2060,2.9648,2.972
0.714899,-0.9942,-0.7909,5.9227,6.057
0.736376,-0.0884,-2.1660,2.5585,3.353
0.755506,0.6474,-3.0412,1.2995,3.370
0.775137,-2.9222,-3.8491,3.9890,6.266
0.795376,-5.8776,-4.7680,2.9736,8.132
0.815513,-3.6366,-4.3138,-1.9039,5.955
0.835761,-1.0639,-3.0561,-5.5515,6.426
0.855896,-1.5733,-1.6122,-5.1410,5.613
0.875963,-2.3022,-1.2584,-3.9599,4.750
0.895823,-0.5874,-0.4256,-4.9347,4.988
0.916007,-2.7085,1.0063,-0.6848,2.969
0.935277,-3.5255,1.2789,2.2744,4.386
0.956385,-0.1559,-0.0969,-0.4009,0.441
0.976359,4.5167,-1.1147,-4.8094,6.691
0.996160,5.3523,0.5261,-7.8635,9.527
1.016560,-0.1404,-1.7062,-1.4250,2.227
1.036628,-2.8455,-2.5030,5.0244,6.293
1.056703,0.7200,-1.0613,3.5121,3.739
1.076695,4.6791,0.2719,-1.2185,4.843
1.096663,0.4207,0.4661,-2.0815,2.174
1.116887,-5.5136,-0.8830,0.2947,5.592
1.137008,-4.5461,-1.6989,0.9393,4.943
1.157360,-0.3024,-0.1502,2.0177,2.046
1.177228,8.8854,5.0668,12.3585,16.042
1.197240,0.5946,-0.0435,2.5377,2.607
1.217286,-1.1790,-1.7417,-0.7445,2.231
1.237264,-4.9002,-3.9051,-7.6258,9.870
1.257233,-7.1303,-5.7127,-12.6883,15.636
1.277382,3.9538,2.2166,12.8575,13.633
1.297606,4.2536,1.4337,3.2274,5.529
1.317721,-0.2824,-1.6321,-9.5544,9.697
1.337846,-0.8531,0.4096,-3.6470,3.768
1.358128,-0.0537,0.2708,-2.0280,2.047
1.377949,2.6645,-2.6420,-4.9713,6.228
1.398104,0.5957,-3.0707,-4.1942,5.232
1.418095,-3.2378,0.6318,4.1180,5.276
1.438009,-0.2182,-0.7399,4.0179,4.091
1.458261,-1.3266,-5.5739,-5.6156,8.023
1.478365,-3.3794,-1.4558,-2.8622,4.662
1.499480,1.7368,3.1490,0.1561,3.600
1.519173,5.0702,4.4002,-0.4902,6.731
1.539238,4.5346,3.0828,-1.1405,5.601
1.559078,3.1472,1.9023,-1.2383,3.880
1.579181,-2.9905,-0.2299,-3.1324,4.337
1.599139,-4.5038,0.8067,0.1454,4.578
1.619417,-0.5852,0.8356,1.3884,1.723
1.639723,2.0761,2.0431,0.3359,2.932
1.659932,1.2798,3.3968,0.1158,3.632
1.679632,-1.3230,2.6785,1.5270,3.355
1.699628,-1.0664,0.5362,0.4822,1.287
1.720854,0.3008,1.1573,-1.2069,1.699
1.740101,2.2598,3.6163,-2.0879,4.748
1.760156,1.7186,1.5157,-2.2170,3.188
1.779719,-1.6669,-1.8612,-0.5782,2.565
1.799817,-2.1642,-3.6551,-5.9165,7.283
1.820109,-0.9155,-5.1336,-5.5836,7.640
1.840235,1.5324,-3.6938,3.1018,5.061
1.860196,-1.6577,-2.6124,0.0414,3.094
1.880137,-1.9513,-0.4480,-0.6394,2.102
1.900297,0.0186,-0.9873,-0.1912,1.006
1.919720,-1.5644,-4.2840,-0.3853,4.577
1.940637,-1.2667,-3.5418,-0.7231,3.830
1.960667,1.4098,-0.7756,0.0849,1.611
1.980585,4.9265,0.9163,-0.5108,5.037
1.999974,2.1338,-3.6697,-6.5472,7.803
2.070799,-4.1189,-3.0514,1.6175,5.375
2.071509,0.7266,3.7333,0.4635,3.832
2.071767,2.2371,5.7818,-3.2279,6.989
2.080260,3.4259,6.6651,-2.5538,7.917
2.100424,4.4097,7.9036,-2.5108,9.392
2.120415,1.6413,5.7842,-1.5451,6.208
2.142232,0.5569,4.1090,-0.3151,4.159
2.160541,0.8759,3.0569,1.4034,3.476
2.180511,-0.2137,0.9513,2.3461,2.541
2.200754,-1.0628,-2.3430,0.6141,2.645
2.221867,-2.1787,-5.8289,2.9734,6.897
2.240765,-2.0842,-8.5250,5.8405,10.542
2.260887,-1.9390,0.7214,3.2299,3.836
2.283318,2.3105,-1.9917,-3.4879,4.634
2.301523,3.7323,-6.6495,-13.1864,15.232
2.321142,7.1403,-8.0515,-0.5555,10.776
2.341327,-2.7941,-4.9232,-1.9612,5.991
2.361522,-2.1796,-0.4615,-4.2170,4.769
2.381318,1.4861,-1.4765,-2.8415,3.530
2.401483,1.6371,0.7131,-3.5798,4.000
2.421630,1.3825,3.8130,-2.7638,4.908
