time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001368,0.4853,-0.2280,-0.1235,0.550
0.014610,0.3904,-0.1364,-0.0593,0.418
0.035794,0.3134,-0.1638,0.0384,0.356
0.054820,0.3962,-0.1087,0.0442,0.413
0.075183,0.4610,-0.1159,0.0095,0.475
0.095358,0.2966,-0.0708,-0.0127,0.305
0.115778,0.2851,-0.1263,0.0163,0.312
0.135228,0.4385,-0.1486,0.0578,0.467
0.155453,0.4740,-0.0848,0.0319,0.483
0.175378,0.3843,-0.0069,0.0023,0.384
0.195690,0.2847,-0.1484,-0.0345,0.323
0.215603,0.3695,-0.2036,0.0824,0.430
0.235849,0.3662,-0.1620,0.1915,0.444
0.255711,0.3247,-0.1217,0.1020,0.361
0.276413,0.3592,-0.0206,-0.0575,0.364
0.295898,0.3486,-0.1300,-0.1063,0.387
0.316727,0.3883,-0.1380,0.1226,0.430
0.336782,0.3524,-0.0596,0.1929,0.406
0.356267,0.2767,-0.0347,0.0730,0.288
0.376626,0.2306,-0.0681,0.0078,0.241
0.396561,0.2705,-0.1546,0.0712,0.320
0.416803,0.2916,-0.1986,0.1420,0.380
0.436606,0.3889,-0.0890,0.0436,0.401
0.456544,0.3366,-0.0457,-0.0058,0.340
0.476940,0.2756,-0.1225,0.0246,0.303
0.496780,0.2983,-0.1375,0.0476,0.332
0.517193,0.3620,-0.0846,0.0056,0.372
0.537167,0.3746,-0.0930,-0.0806,0.394
0.557136,0.4299,-0.0632,-0.0461,0.437
0.577258,0.5196,-0.1147,0.1002,0.542
0.597281,0.4307,-0.0875,0.0707,0.445
0.617402,0.3989,0.1144,-0.0455,0.417
0.637116,0.5178,0.6032,-0.0059,0.795
0.657689,0.8373,1.1960,0.5503,1.560
0.677759,1.0893,1.4900,0.5679,1.931
0.697712,1.1078,1.9293,0.5305,2.287
0.717887,1.2137,3.1081,0.0259,3.337
0.737855,0.6450,3.2418,0.7276,3.384
0.758133,0.5273,4.3503,1.0200,4.499
0.780087,-0.3352,3.1327,1.3265,3.418
0.798338,1.3378,2.8606,0.1184,3.160
0.819702,0.9466,1.1479,-2.8753,3.237
0.838301,-0.3299,0.4137,2.2772,2.338
0.860994,-0.1167,-0.1753,0.4647,0.510
0.878744,-0.1009,0.1263,-1.1674,1.179
0.900674,0.4601,-0.1869,1.4387,1.522
0.918657,0.7917,-0.8948,0.6769,1.373
0.940699,0.6610,-1.9077,0.5870,2.103
0.959172,0.4443,-2.4269,0.2849,2.484
0.981027,0.4564,-1.8939,-0.0241,1.948
0.999063,0.6048,-0.7349,0.1892,0.970
1.021858,0.7955,0.2482,0.0349,0.834
1.039431,1.1796,1.0140,0.2566,1.577
1.062338,1.5938,0.7862,0.9520,2.016
1.080039,1.0637,0.3905,-0.0604,1.135
1.101817,0.6514,0.2155,-0.4887,0.842
1.119833,-1.0609,-10.3225,-0.1735,10.378
1.141394,-2.7418,-13.5023,0.9177,13.808
1.160344,-0.5381,2.6706,2.1135,3.448
1.181419,0.1120,2.7172,0.5051,2.766
1.200339,-0.2564,-0.1854,-0.4510,0.551
1.221211,0.1027,-0.0838,0.7413,0.753
1.240558,0.4122,0.1804,1.3479,1.421
1.261314,0.2104,-0.2635,1.0376,1.091
1.280694,-0.4311,-0.3976,1.4466,1.561
1.301614,-0.7088,-0.3070,1.8060,1.964
1.321164,0.0067,0.0488,1.0092,1.010
1.341466,1.0071,0.1775,0.0166,1.023
1.360836,0.4245,0.6022,0.6144,0.959
1.381193,-1.7140,0.8721,0.9838,2.160
1.403630,-0.7737,0.2264,0.8178,1.148
1.424140,1.7887,-0.1405,-0.7871,1.959
1.443861,2.3868,0.3406,-2.3955,3.399
1.464186,0.1934,0.2845,-1.8712,1.903
1.482128,-1.6371,-0.4119,-0.8736,1.901
1.502512,-1.0262,-0.2231,-0.9058,1.387
1.524561,-0.0746,-0.0078,-0.9633,0.966
