time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.001209,-1.8496,0.1463,-0.2079,1.867
0.013718,-1.8913,0.2517,-0.3444,1.939
0.033470,-2.0756,0.2957,-0.2364,2.110
0.055314,-2.0767,0.4010,-0.0743,2.116
0.075042,-2.0310,0.4804,-0.0203,2.087
0.095053,-1.8761,0.5121,-0.1162,1.948
0.114978,-1.9970,0.6550,-0.1044,2.104
0.135388,-2.0739,0.6461,-0.1500,2.177
0.155336,-2.0514,0.5956,-0.3262,2.161
0.175280,-1.9273,0.5932,-0.4540,2.067
0.195539,-1.9113,0.3732,-0.3982,1.988
0.215517,-1.9286,0.3174,-0.3195,1.980
0.236132,-2.0444,0.4263,-0.6697,2.193
0.255643,-2.0917,0.3502,-0.7246,2.241
0.274831,-1.7881,0.8875,-0.3794,2.032
0.295980,-1.5910,1.0908,-0.3641,1.963
0.314872,-1.4691,1.1255,-0.3664,1.887
0.336159,-1.7175,0.9344,-0.1786,1.963
0.354861,-2.3991,0.4733,-0.4173,2.481
0.376189,-2.8951,1.2272,-0.3263,3.161
0.395959,-1.3846,2.3638,0.1682,2.745
0.416491,1.2573,2.5124,1.1267,3.027
0.435412,-1.5310,0.5944,0.1813,1.652
0.456430,-1.6669,0.2526,0.4683,1.750
0.475637,-4.0525,-1.6892,-0.2404,4.397
0.497122,-3.9097,-1.5868,-0.4322,4.242
0.515899,-2.1297,0.2321,-0.3292,2.167
0.535863,-2.3711,1.6018,-0.2167,2.870
0.555747,-2.3740,2.2697,0.1351,3.287
0.576518,-0.4478,4.0434,1.3163,4.276
0.595993,0.9419,4.2467,0.2748,4.359
0.616547,1.7573,4.6997,-1.9483,5.383
0.635922,-4.0587,1.6285,-3.5058,5.605
0.656811,-7.1998,0.1384,3.9225,8.200
0.676220,-2.1447,0.5130,1.7631,2.823
0.696613,-1.9473,-2.8756,-1.3700,3.733
0.719145,-2.3643,-4.0411,-0.9238,4.772
0.736677,-1.1437,-3.2450,0.1598,3.444
0.756559,-1.4465,-2.9501,-1.6821,3.691
0.777018,-2.6616,-2.3516,-1.4652,3.842
0.797199,-3.2432,-0.6251,-0.2925,3.316
0.817916,-2.6472,0.9687,-0.6405,2.891
0.836942,-2.0380,0.7724,-0.8018,2.322
0.857060,-1.3338,0.6572,-0.4287,1.548
0.877278,-1.3961,0.3184,-0.3827,1.482
0.897538,-2.0166,0.1899,-0.5778,2.106
0.917805,-1.9241,0.2170,-0.8473,2.114
0.937471,-1.6520,0.7382,-0.7289,1.951
0.957462,-1.7221,1.1082,-0.4986,2.108
0.977693,-2.3126,1.7708,-0.4666,2.950
0.997957,-2.9236,3.1296,-0.4265,4.304
1.018336,-2.3796,3.6963,-1.0883,4.529
1.038351,-0.6995,3.4413,-1.4707,3.807
1.058419,-0.6220,3.3614,-1.1926,3.620
1.078552,-1.4386,1.3740,-0.8445,2.161
1.098567,-1.8493,-1.4349,-0.8708,2.497
1.118795,-2.3401,-2.1097,-1.0244,3.313
1.138772,-2.1926,-0.7309,-1.0034,2.520
1.158924,-1.0044,0.2638,-0.7762,1.297
1.179077,-0.1790,0.2936,-0.2910,0.450
1.199321,-0.4742,0.6747,-0.5834,1.010
1.219161,-1.6824,1.0222,-0.2665,1.987
1.239449,-2.4620,0.7627,-0.4919,2.624
1.259527,-1.6545,0.2857,-0.5730,1.774
1.279220,-1.2543,-0.6932,-1.0267,1.763
1.299482,-1.9979,-1.2650,-0.4809,2.413
1.319692,-2.7162,-0.2146,0.0033,2.725
1.340036,-2.5599,1.4654,-0.3428,2.970
1.359670,-2.0965,1.3242,-0.8107,2.609
1.379739,-1.2223,0.8076,-1.4840,2.085
1.399831,-1.7049,0.5740,-0.6963,1.929
1.422047,-3.2923,-0.7454,-0.3487,3.394
1.440374,-3.6174,-1.1912,-1.4295,4.068
1.462173,-3.8228,-2.0804,-0.4157,4.372
1.480896,-4.0892,-3.4497,-0.0170,5.350
1.503948,-3.3009,-3.6249,-0.0851,4.903
1.521305,-0.9426,-1.6479,-0.9357,2.117
1.546447,0.5436,1.0996,-1.9586,2.311
1.570166,-0.6198,0.6568,-0.8264,1.224
1.583243,-2.8610,-0.1059,-0.0213,2.863
1.601971,-3.9437,-0.1415,0.5284,3.981
1.626182,-3.1182,0.0296,-0.0171,3.118
1.641270,-1.7936,0.1099,-0.5145,1.869
1.663928,-1.4560,0.2847,-0.3388,1.522
1.681102,-2.1265,0.1052,-0.2624,2.145
1.703525,-2.3712,0.1873,-0.2270,2.389
1.721926,-2.1053,0.3455,-0.2465,2.148
1.744175,-2.3753,0.1250,-0.1862,2.386
1.761625,-2.6496,-0.2170,0.0179,2.659
1.783152,-2.4805,-0.1393,0.1736,2.490
1.802063,-1.6135,0.6275,0.3235,1.761
1.823376,-1.9602,0.5799,0.1634,2.051
1.841799,-2.7407,0.1552,0.6252,2.815
1.863289,-1.6109,-0.0596,0.3068,1.641
1.882422,-1.0167,-0.0400,-0.5298,1.147
1.908738,-1.4084,0.3121,-0.9137,1.708
1.931723,-2.0110,0.5115,-0.4798,2.130
1.942494,-2.6261,0.2836,-0.0767,2.642
1.962651,-2.9877,-0.6279,0.3537,3.073
1.984021,-2.7605,-0.6881,0.4183,2.876
2.005935,-2.5446,-0.2424,0.2995,2.574
2.025745,-3.0630,-0.1907,0.3553,3.089
2.043149,-3.4338,-0.6932,1.0848,3.667
2.064907,-2.9355,-0.7821,1.0643,3.219
2.085451,-2.4756,-0.2712,0.5707,2.555
2.105181,-3.0236,-0.2261,0.7244,3.117
2.125597,-3.9846,-1.1629,0.6418,4.200
2.145615,-4.1147,-2.4257,-0.4818,4.801
2.172628,-3.6117,-2.6169,-0.2593,4.468
2.191685,-2.8304,-1.4888,1.5491,3.554
2.205744,-2.3645,-0.6894,2.4561,3.478
2.229345,-2.0103,-0.2830,2.1203,2.936
2.246740,-1.4291,0.1716,1.5180,2.092
2.269304,-0.8423,0.0242,1.5704,1.782
2.286924,-1.0093,-0.8606,0.3299,1.367
2.304831,-1.8303,-1.5073,-1.2012,2.658
2.327568,-2.4151,-2.0190,-2.6252,4.099
2.345837,-2.0182,-1.7189,-3.3296,4.256
2.365304,-1.5467,-0.9877,-3.1864,3.677
2.386505,-1.4197,-0.4009,-2.8195,3.182
2.405774,-1.7134,-0.1776,-3.8187,4.189
2.426245,-1.3858,0.2346,-3.4681,3.742
2.446395,-1.2692,0.6718,-2.1113,2.553
2.467161,-1.1213,1.3341,-1.1937,2.112
2.485891,-1.4164,1.3006,-1.0787,2.205
2.507588,-2.2894,0.6689,-1.4888,2.812
2.527364,-2.1915,0.7901,-1.4552,2.747
2.549153,-1.0844,1.4706,-1.2386,2.207
2.566163,-0.5249,1.7448,-0.9403,2.050
2.590738,-0.5142,1.6501,-0.8685,1.934
2.607049,-0.7259,1.4509,-0.6053,1.732
2.633603,-0.9425,1.2094,-0.1743,1.543
2.651977,-1.1556,1.2028,-0.0994,1.671
2.669443,-1.3689,1.4756,0.2286,2.026
2.686225,-1.3577,1.6455,0.7343,2.256
2.708936,-1.4833,1.3942,0.8539,2.208
2.727080,-1.7674,0.7017,0.8373,2.078
2.747110,-1.7099,-0.6521,1.1748,2.175
2.767223,-1.4839,-1.7944,1.8253,2.959
2.789555,-1.8142,-1.3103,2.6771,3.489
2.806649,-2.3288,-0.5199,3.3575,4.119
2.828880,-2.2144,0.1856,2.6118,3.429
2.846381,-1.3135,1.3442,1.9014,2.673
