time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.004227,-2.0132,-0.7986,-0.8418,2.324
0.012517,-2.1319,-0.3274,-0.5760,2.232
0.029950,-2.2477,-0.0326,-0.0754,2.249
0.051368,-2.5645,-0.1648,-0.9087,2.726
0.071712,-2.1602,-0.6529,-2.9324,3.700
0.093052,-0.5564,-0.9618,-5.4675,5.579
0.111115,0.4074,-0.6852,-5.8431,5.897
0.132891,0.4521,-0.8035,-4.3013,4.399
0.152088,1.0245,-1.3554,-2.5689,3.080
0.173163,2.3200,-1.4416,-3.2564,4.250
0.191309,4.0883,-1.9008,-4.7106,6.521
0.213388,5.7445,-2.8400,-2.7378,6.968
0.231332,5.7041,-3.3197,-1.1207,6.694
0.252115,4.1383,-4.1895,-2.2339,6.298
0.271681,2.0627,-5.2699,0.0969,5.660
0.293696,-0.2329,-4.2215,3.2295,5.320
0.311594,-0.4058,-4.0862,4.1402,5.831
0.333808,-1.0321,-6.0050,-0.7520,6.139
0.352361,-0.8648,-5.5472,-0.7180,5.660
0.376671,-0.9285,-3.0501,6.0040,6.798
0.392108,-4.7575,-1.8476,21.8574,22.445
0.414196,-3.5506,-4.1981,-2.2614,5.945
0.432324,-4.2257,-5.2728,-5.1817,8.515
0.453577,-3.5987,-2.7253,-1.1311,4.654
0.472515,-1.3156,0.0237,-1.2612,1.823
0.494336,0.6989,1.0577,-4.0419,4.236
0.512742,0.9220,0.0587,-5.9878,6.059
0.534355,-2.4133,0.5659,-5.6186,6.141
0.552231,-4.6069,1.4825,-3.3301,5.875
0.574810,-4.9206,1.4521,-4.2268,6.647
0.593734,-4.3905,0.6015,-4.3527,6.212
0.614931,-4.1375,1.2210,-3.4513,5.525
0.632874,-5.6637,1.1672,-0.9208,5.856
0.654413,-6.7458,1.1033,1.8246,7.075
0.674114,-5.1958,2.6518,7.0395,9.142
0.694223,-0.2063,4.0514,5.8296,7.102
0.714778,4.5740,3.7525,-0.4019,5.930
0.734453,-1.3776,1.1347,-0.6289,1.892
0.753510,-5.0537,-0.9524,-1.4004,5.330
0.774639,-1.9630,0.4285,-1.5840,2.559
0.794669,-0.4142,0.0822,-1.1684,1.242
0.814896,0.0394,0.6735,-0.7312,0.995
0.835330,2.2160,2.0975,0.7345,3.138
0.855904,3.5821,1.8630,2.5899,4.797
0.875942,-0.1658,-0.2349,-2.5404,2.557
0.896139,1.7185,-0.2305,-3.1325,3.580
0.915199,0.2354,0.3599,2.4857,2.523
0.935074,-1.5774,-0.5223,0.8032,1.846
0.954991,-1.2374,-1.0454,-0.0572,1.621
0.976288,-2.3186,-1.5687,-1.0562,2.992
0.996634,-3.1439,-1.8046,-0.9740,3.754
1.015055,-2.4501,-1.4347,-1.3649,3.150
1.037398,-0.7453,-0.4540,-3.0202,3.144
1.056691,1.3749,-0.1986,-2.8986,3.214
