time,ax,ay,az,atotal
0.009502172470092773,0.21,-0.03,0.17,0.27
0.016201019287109375,0.13,0.0,0.13,0.18
0.0263369083404541,0.13,-0.06,0.01,0.14
0.03645610809326172,0.07,-0.06,0.03,0.09
0.0500330924987793,0.04,-0.05,0.05,0.08
0.06665706634521484,-0.13,-0.07,-0.08,0.16
0.0683441162109375,-0.23,-0.04,-0.27,0.35
0.07616591453552246,-0.26,-0.09,-0.31,0.41
0.08632302284240723,-0.23,-0.07,-0.13,0.27
0.09623599052429199,-0.26,-0.06,0.1,0.28
0.1065518856048584,-0.25,-0.02,0.23,0.34
0.11664104461669922,-0.16,-0.01,0.17,0.23
0.12679004669189453,-0.1,-0.08,-0.07,0.14
0.1370079517364502,-0.07,-0.04,-0.24,0.25
0.171112060546875,-0.1,-0.03,-0.13,0.16
0.17183709144592285,-0.07,-0.02,0.1,0.12
0.1725142002105713,0.08,-0.04,0.27,0.28
0.17601990699768066,0.16,-0.04,0.33,0.36
0.18626904487609863,0.26,0.02,0.29,0.39
0.19623112678527832,0.34,-0.04,0.28,0.44
0.20652318000793457,0.28,-0.06,0.26,0.38
0.21660590171813965,0.08,-0.05,0.21,0.23
0.22678017616271973,-0.04,-0.02,0.17,0.17
0.2369692325592041,0.02,-0.01,0.22,0.22
0.2709619998931885,0.15,-0.02,0.35,0.38
0.2717440128326416,0.16,-0.06,0.41,0.44
0.27243804931640625,0.11,-0.09,0.42,0.44
0.2760632038116455,0.05,-0.01,0.38,0.38
0.2862560749053955,-0.02,-0.07,0.4,0.4
0.2962360382080078,-0.18,-0.06,0.44,0.47
0.3064560890197754,-0.24,0.03,0.53,0.58
0.31681108474731445,-0.14,-0.09,0.69,0.7
0.3269379138946533,-0.12,-0.17,0.88,0.9
0.33693909645080566,-0.12,-0.1,1.15,1.16
0.36916422843933105,-0.13,-0.16,1.28,1.29
0.3699030876159668,-0.16,-0.15,1.37,1.38
0.37058520317077637,-0.12,-0.05,1.52,1.52
0.3760721683502197,0.02,-0.09,1.65,1.65
0.38631510734558105,0.3,-0.19,1.69,1.72
0.3962240219116211,0.53,-0.25,1.77,1.86
0.40642309188842773,0.66,-0.23,2.07,2.18
0.4167459011077881,0.78,-0.32,2.29,2.44
0.4266989231109619,0.55,-0.43,2.47,2.56
0.4376552104949951,0.43,-0.5,2.74,2.81
0.47103190422058105,0.49,-0.65,2.71,2.82
0.4717550277709961,0.76,-0.66,2.36,2.56
0.47243618965148926,1.05,-0.63,1.94,2.29
0.4759519100189209,0.72,-0.95,1.79,2.15
0.4864540100097656,1.08,-0.8,1.35,1.9
0.49599719047546387,1.35,-0.8,1.17,1.95
0.5063831806182861,1.24,-1.17,1.03,1.99
0.5164859294891357,1.04,-1.25,0.67,1.75
0.5267291069030762,0.23,-0.87,-1.38,1.64
0.5375440120697021,-4.86,1.03,-25.86,26.33
0.5666730403900146,-5.34,-1.72,-16.4,17.33
0.5685470104217529,-1.35,-1.85,9.08,9.36
0.5693252086639404,0.21,0.83,9.07,9.11
0.5760650634765625,-1.74,1.54,-2.46,3.38
0.586345911026001,-0.97,0.55,-5.93,6.03
0.596149206161499,0.07,-1.17,1.0,1.54
0.6069340705871582,0.42,-1.01,1.25,1.66
0.6166331768035889,-0.12,0.24,-1.35,1.37
0.6272509098052979,-0.36,0.49,-0.59,0.84
0.6376140117645264,0.11,-0.07,0.8,0.81
0.6681969165802002,-0.09,-0.17,0.05,0.19
0.6689379215240479,0.11,-0.06,-0.57,0.58
0.669625997543335,2.54,-0.32,-0.54,2.61
0.6758780479431152,3.5,-0.45,-0.05,3.52
0.6864750385284424,2.88,-0.17,-0.01,2.88
0.6962180137634277,1.43,0.31,0.08,1.46
0.7063319683074951,0.0,0.57,0.73,0.92
0.7164580821990967,-1.48,0.17,0.32,1.52
0.7266161441802979,-2.83,-0.43,-0.35,2.88
0.7368910312652588,-3.19,-0.43,-0.29,3.23
0.7651441097259521,-2.09,0.03,-0.06,2.09
0.7658910751342773,-0.56,0.11,-0.14,0.58
0.7666151523590088,0.6,-0.14,-0.33,0.69
0.7760779857635498,1.12,-0.23,-0.26,1.17
0.7864739894866943,0.82,-0.08,-0.1,0.82
0.796097993850708,0.16,0.13,-0.08,0.22
0.8066940307617188,-0.32,0.01,0.06,0.32
0.8166549205780029,-0.68,-0.27,0.17,0.75
0.8266251087188721,-1.03,-0.24,0.05,1.05
0.8376560211181641,-1.0,0.07,-0.14,1.01
0.8502681255340576,-0.59,0.13,0.12,0.61
0.8660380840301514,-0.13,-0.03,0.09,0.16
0.8678150177001953,0.02,-0.12,-0.48,0.49
0.8759720325469971,0.02,-0.21,-0.39,0.44
0.886523962020874,0.08,-0.13,-0.05,0.16
0.8961610794067383,0.22,0.14,-0.2,0.32
0.9067981243133545,0.36,0.09,-0.23,0.43
0.9163041114807129,0.37,-0.11,-0.23,0.44
0.9273831844329834,-0.04,-0.19,-0.38,0.42
0.9376461505889893,-0.6,-0.06,-0.44,0.74
0.9663541316986084,-0.82,0.04,-0.35,0.89
0.9682180881500244,-0.63,-0.02,-0.09,0.63
0.9689431190490723,-0.19,0.02,0.16,0.24
0.9759690761566162,0.3,-0.01,0.48,0.56
0.9861562252044678,0.6,-0.09,0.44,0.74
0.9960949420928955,0.52,-0.06,0.04,0.52
1.006277084350586,-0.02,-0.05,-0.18,0.18
1.0163919925689697,-0.5,-0.05,-0.26,0.56
1.0267789363861084,-0.65,-0.04,-0.11,0.66
1.0370628833770752,-0.51,-0.08,0.4,0.65
1.0658009052276611,-0.18,-0.09,0.58,0.61
1.0666491985321045,-0.01,0.05,0.27,0.27
1.068554162979126,-0.25,0.12,0.19,0.33
1.075958013534546,-0.64,0.07,0.35,0.73
1.086299180984497,-0.8,-0.02,0.48,0.93
1.0961430072784424,-0.81,-0.19,0.62,1.03
1.1062750816345215,-0.53,-0.29,0.52,0.79
1.1165249347686768,0.08,-0.36,0.44,0.57
1.1272451877593994,0.44,-0.66,0.43,0.9
1.1374940872192383,0.11,-0.71,-0.19,0.74
1.1694319248199463,-0.32,-0.13,-0.64,0.72
1.170166015625,-0.66,0.38,-0.57,0.95
1.1707980632781982,-0.87,0.38,-0.97,1.35
1.1758291721343994,-0.85,0.25,-1.67,1.89
1.186432123184204,-0.73,0.14,-1.92,2.05
1.1961719989776611,-0.61,0.12,-1.68,1.79
1.2063241004943848,-0.56,0.0,-0.71,0.9
1.216548204421997,-0.54,-0.05,0.36,0.65
1.2266161441802979,-0.07,0.13,1.15,1.15
1.2373650074005127,0.54,0.04,2.09,2.15
1.2674860954284668,0.84,-0.18,2.23,2.38
1.2682280540466309,0.82,-0.31,1.79,1.99
1.2689130306243896,0.61,-0.09,1.3,1.43
1.2757720947265625,0.32,0.24,0.8,0.89
1.2862460613250732,-0.09,0.08,0.41,0.42
1.296130895614624,0.02,-0.21,-0.13,0.24
1.3067681789398193,0.61,-0.07,-0.8,1.0
1.3165040016174316,0.7,0.3,-0.63,0.98
1.3266921043395996,0.23,0.27,0.03,0.35
1.3375489711761475,-0.19,-0.11,0.48,0.52
1.3683030605316162,-0.37,-0.3,0.66,0.81
1.3690369129180908,-0.14,-0.1,0.75,0.76
1.369732141494751,-0.1,0.11,1.01,1.02
1.375793218612671,-0.68,-0.03,0.67,0.95
1.3861980438232422,-1.03,-0.35,-0.24,1.11
1.3961000442504883,-0.89,-0.14,-0.59,1.07
1.4073410034179688,-0.77,0.38,-0.26,0.89
1.416607141494751,-0.59,0.5,-0.18,0.79
1.4265320301055908,-0.43,0.42,-0.37,0.7
1.4368300437927246,-0.47,0.32,-0.13,0.58
1.4507439136505127,-0.31,0.36,-0.1,0.48
1.4667799472808838,0.2,0.4,-0.27,0.52
1.4686181545257568,0.12,0.55,0.2,0.59
1.4759352207183838,-0.62,0.89,0.23,1.1
1.4860620498657227,-1.01,0.85,0.04,1.32
1.4959909915924072,-0.83,0.65,-0.02,1.05
1.5061590671539307,-0.52,0.62,0.29,0.85
1.516329050064087,-0.3,0.75,0.35,0.88
1.5265100002288818,-0.22,1.44,0.38,1.5
1.5369179248809814,0.19,2.34,0.52,2.4
1.5509788990020752,-0.66,2.88,-0.19,2.96
1.5677149295806885,-1.45,3.15,0.67,3.53
1.5684421062469482,-1.8,3.05,0.09,3.54
1.575814962387085,-2.23,2.87,-0.44,3.66
1.5859692096710205,-1.94,3.49,-0.64,4.04
1.5962200164794922,-1.65,4.39,-0.34,4.7
1.6063868999481201,-1.91,4.86,-0.03,5.22
