time,ax,ay,az,atotal
0.0027611255645751953,0.42,0.0,-0.37,0.55
0.004866123199462891,0.48,-0.26,-0.32,0.63
0.006433963775634766,0.31,0.05,-0.16,0.35
0.008862972259521484,0.18,0.16,-0.02,0.24
0.011490106582641602,0.06,0.07,0.01,0.09
0.015099048614501953,-0.04,-0.01,0.03,0.05
0.024875164031982422,-0.05,-0.15,-0.07,0.17
0.035102128982543945,0.1,-0.12,-0.1,0.18
0.04513120651245117,0.27,-0.1,-0.15,0.32
0.05526399612426758,0.35,-0.04,-0.18,0.39
0.10036611557006836,0.38,-0.06,-0.31,0.49
0.10207104682922363,0.29,0.11,-0.16,0.34
0.10360908508300781,0.12,0.06,-0.13,0.18
0.10633611679077148,-0.18,0.05,-0.03,0.18
0.1260371208190918,-0.41,0.02,0.09,0.42
0.1276991367340088,-0.38,-0.03,0.1,0.39
0.12936711311340332,-0.11,-0.01,0.02,0.11
0.13489294052124023,0.2,0.04,-0.12,0.23
0.1450209617614746,0.29,0.05,-0.14,0.32
0.15516901016235352,0.17,0.05,-0.14,0.22
0.20147705078125,-0.01,0.02,-0.04,0.04
0.2031712532043457,-0.04,0.0,0.03,0.05
0.20471811294555664,0.01,-0.03,0.03,0.04
0.20696115493774414,0.09,-0.04,0.03,0.1
0.20934009552001953,0.22,0.0,-0.02,0.22
0.21488618850708008,0.34,0.03,-0.08,0.35
0.22472310066223145,0.34,0.05,-0.1,0.35
0.23504400253295898,0.22,0.0,-0.06,0.22
0.24502897262573242,0.13,-0.02,-0.01,0.13
0.2551741600036621,0.16,-0.02,0.04,0.16
0.3003580570220947,0.26,-0.02,-0.01,0.26
0.3019990921020508,0.29,-0.01,-0.08,0.3
0.303591251373291,0.26,0.02,-0.02,0.26
0.3062582015991211,0.27,0.04,-0.01,0.27
0.32591915130615234,0.19,0.03,-0.13,0.23
0.3275301456451416,0.06,0.02,-0.12,0.13
0.33055615425109863,-0.05,0.06,-0.07,0.1
0.33501195907592773,-0.19,0.07,-0.05,0.2
0.3451111316680908,-0.27,-0.02,-0.06,0.27
