time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.000795,-0.8851,-1.1301,-1.7908,2.295
0.007643,-0.8993,-1.2948,-1.2849,2.034
0.028139,-0.6325,-1.0543,-0.2654,1.258
0.047929,-0.0616,-0.7653,0.1654,0.785
0.068526,-0.1710,-0.7077,-0.4507,0.856
0.087975,-0.5331,-1.1310,-0.9272,1.557
0.108498,-0.1462,-0.9862,-0.9180,1.355
0.128370,0.1603,-0.6562,-0.9513,1.167
0.148735,0.2823,-0.6730,-1.0266,1.260
0.168532,-0.7256,-1.1820,-1.5108,2.051
0.189004,-0.8944,-1.0027,-1.5973,2.087
0.208617,-0.0542,-0.4648,-1.3226,1.403
0.229191,-0.0192,-0.4743,-0.5487,0.725
0.248837,1.2916,0.1549,-0.1792,1.313
0.269387,2.2885,0.7805,0.3070,2.437
0.290163,2.3836,0.3656,0.4038,2.445
0.308970,0.4650,-0.5866,0.1150,0.757
0.329301,-0.5576,-0.6050,0.6439,1.045
0.350729,0.1962,0.2824,1.4404,1.481
0.369575,0.0281,1.3208,3.4971,3.738
0.392281,-0.2223,1.9721,3.8775,4.356
0.409750,0.8167,1.0124,-1.6576,2.107
0.430541,-0.0979,0.8669,-1.6647,1.879
0.449966,-1.1558,0.4219,-1.0675,1.629
0.470533,-1.2416,0.3490,0.0581,1.291
0.490404,-2.3715,0.0252,1.2864,2.698
0.510503,-2.6650,0.6324,0.3470,2.761
0.530488,0.7928,2.2219,-0.9694,2.551
0.550311,5.0959,2.7648,-2.9462,6.503
0.570261,4.4563,2.6096,-1.3372,5.334
0.590615,3.0259,2.7999,2.4897,4.816
0.610773,2.1250,0.2360,1.4532,2.585
0.631170,-0.7554,-2.8027,-2.4506,3.799
0.651086,-4.1240,-3.7034,-2.4490,6.060
0.670911,-1.7805,-1.6872,1.3130,2.782
0.690914,-0.1929,-1.9676,-0.1965,1.987
0.711194,-0.4318,-2.6916,0.0764,2.727
0.731209,-0.8688,-3.4897,0.5340,3.636
0.751596,1.4759,-1.3089,-0.4127,2.015
0.772276,3.1562,0.3367,-1.0991,3.359
0.791393,3.7276,1.3660,-4.0254,5.654
0.811489,-2.8115,-0.4024,2.4163,3.729
0.831642,-2.9422,1.1242,2.1614,3.820
0.851641,0.6847,3.6244,-1.7845,4.098
0.871657,2.0228,6.3144,-0.7885,6.677
0.892103,1.2883,7.3369,1.9529,7.701
0.912141,0.2540,4.9815,1.7396,5.283
0.932125,1.0823,2.5076,-0.2178,2.740
0.952030,1.9852,2.6376,-2.5561,4.175
0.972336,2.0175,2.2581,-0.2740,3.040
0.992130,0.5729,-2.4513,0.9756,2.700
1.012455,-2.9067,-6.9071,-1.1049,7.575
1.032524,-3.2337,-7.8212,0.3559,8.471
1.052446,0.3292,-5.2533,-2.9246,6.022
1.072537,2.0053,-5.4638,0.2656,5.826
1.092893,-1.2962,-1.3692,2.9868,3.532
1.113257,-0.8647,0.0354,0.3484,0.933
1.133792,-0.0448,-0.1260,0.0920,0.162
1.153810,-0.3399,0.2565,0.9132,1.008
1.173549,0.1595,0.3202,0.3275,0.485
1.193632,0.8016,-0.0589,-0.1244,0.813
1.213803,0.8209,-0.3173,-0.0993,0.886
1.233824,0.0132,0.4000,0.2923,0.496
1.253837,-0.7699,2.0377,0.7197,2.294
1.273966,-0.7324,2.4549,0.3015,2.579
1.293958,0.1021,3.0469,-0.2961,3.063
1.313960,0.5148,3.5318,-0.5292,3.608
1.334179,0.3596,2.7467,-0.2191,2.779
1.354355,0.2466,5.3705,0.0163,5.376
1.374201,1.1060,5.1698,-1.2718,5.438
1.394933,1.7365,1.3617,-1.4903,2.663
1.414363,0.7666,-1.1120,-0.2400,1.372
1.434342,0.1681,-3.7874,2.1203,4.344
1.454537,-0.0503,-2.7574,-2.1894,3.521
1.475939,-0.1380,4.5128,-2.1570,5.004
1.499723,0.5423,7.6071,-1.4978,7.772
1.515725,0.0986,2.6865,2.3489,3.570
1.536704,-1.1349,-17.8524,4.4031,18.422
1.556018,-4.2460,-20.2783,2.0934,20.824
1.577016,-3.3444,-0.1732,1.8737,3.837
1.596621,-0.3646,-1.2960,5.5080,5.670
1.617000,0.3122,-4.4689,7.4272,8.674
1.635754,-0.3785,-3.7371,-0.4360,3.781
1.655969,1.2980,-1.7199,-1.4543,2.600
1.676029,4.5622,1.3709,-3.8621,6.133
1.696818,2.5912,2.6178,-6.0681,7.099
1.715767,-2.6497,0.9819,-1.2823,3.103
1.736956,-4.2849,-0.8668,-0.0719,4.372
1.756040,-2.0460,-0.0574,-2.9166,3.563
1.775525,0.8319,2.9839,-2.9329,4.266
1.795976,1.0808,4.2213,-2.7302,5.142
1.818556,0.6685,4.6591,-2.5803,5.368
1.836203,0.7767,4.4789,-2.0642,4.992
1.857459,0.9744,3.3300,-1.4043,3.743
1.876443,0.9772,2.0952,-0.4318,2.352
1.896749,0.6845,1.7478,1.3096,2.289
1.916554,0.1012,1.2214,2.9221,3.169
1.936848,-0.1110,-0.9669,3.3159,3.456
