time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2),low_passed,fftx,freq,walking_type
15.739412,-2.0558,0.2202,-4.723,5.156,4.869302552362248,175.11807276712858,0.12858192505510857,flat_noshoes_data
15.760518,-1.3301,1.2199,-5.1165,5.426,5.080697599211722,135.85963418572672,0.1653196179279952,flat_noshoes_data
15.780321,0.467,3.484,-5.4107,6.452,5.32645793325014,203.92499671166948,0.20205731080088185,flat_noshoes_data
15.797206,1.7467,5.3906,-5.2835,7.748,5.604178115458722,172.8647779483452,0.2387950036737685,flat_noshoes_data
15.817355,1.8922,6.1343,-3.9637,7.545,5.913655885635556,277.111210098803,0.2755326965466587,flat_noshoes_data
15.841993,0.8554,5.7361,-2.8221,6.45,6.256409892031868,40.543604895556676,0.3122703894195453,flat_noshoes_data
15.858352,-0.5239,5.3471,-1.2969,5.527,6.633829665920375,154.13417211182374,0.34900808229243196,flat_noshoes_data
15.879832,-0.364,5.0435,-0.6601,5.099,7.04428055011717,111.82536508615146,0.38574577516532216,flat_noshoes_data
15.898515,1.671,4.1858,-0.4766,4.532,7.480033271057395,35.16011050616594,0.4224834680382088,flat_noshoes_data
15.918013,2.5136,1.8494,0.9768,3.27,7.925122103215542,80.38182557102628,0.45922116091109544,flat_noshoes_data
15.942567,2.5177,-3.9531,3.8919,6.092,8.355209915398108,49.2276174024948,0.4959588537839821,flat_noshoes_data
15.973001,2.0105,-14.1046,8.4326,16.556,8.74013965740757,188.16263743400373,0.5326965466568723,flat_noshoes_data
15.979068,-1.0432,-11.2537,6.7421,13.16,9.04858607837457,105.77881753825729,0.5694342395297589,flat_noshoes_data
16.00023,1.745,1.5232,3.7179,4.38,9.252670991687488,76.78495296043376,0.6061719324026456,flat_noshoes_data
16.019015,6.4461,4.7368,0.4456,8.012,9.330643055158143,109.29313292128685,0.6429096252755322,flat_noshoes_data
16.040682,8.1421,-2.771,-3.0181,9.115,9.267977726360876,164.19958868736708,0.6796473181484224,flat_noshoes_data
16.059603,3.0773,-12.5898,-11.0685,17.044,9.058538188804746,297.8603103169632,0.716385011021309,flat_noshoes_data
16.078477,-1.6181,-2.1408,-9.7437,10.106,8.706051377176202,91.15241701801321,0.7531227038941957,flat_noshoes_data
16.098209,0.206,5.5198,-0.736,5.572,8.224359546013432,266.68709819560723,0.7898603967670823,flat_noshoes_data
16.11946,-0.3846,4.3913,-1.4776,4.649,7.63535556228228,328.60285960677015,0.8265980896399725,flat_noshoes_data
16.139427,-2.2325,3.5925,3.5997,5.554,6.965553815482321,555.7788332229421,0.8633357825128591,flat_noshoes_data
16.15995,-0.0549,2.6979,7.3497,7.829,6.243228907567646,566.5660329316903,0.9000734753857458,flat_noshoes_data
16.179146,-0.3202,-1.9588,-3.146,3.72,5.497078698611476,1286.143342512744,0.936811168258636,flat_noshoes_data
16.199256,-2.5458,-2.9462,-8.3848,9.245,4.7559912358224885,306.60756257926266,0.9735488611315226,flat_noshoes_data
16.221465,-2.5194,-0.8288,-3.4811,4.376,4.048960442428748,259.3707839387272,1.0102865540044093,flat_noshoes_data
16.25007,-0.7652,1.3036,1.1322,1.889,3.4042981978451023,203.81586270347123,1.047024246877296,flat_noshoes_data
16.25964,-0.8301,1.4019,0.8072,1.818,2.847804359963483,130.31709914148598,1.083761939750186,flat_noshoes_data
16.27993,-0.7366,0.2003,-0.6378,0.995,2.4003923951221755,218.74122490365943,1.1204996326230727,flat_noshoes_data
16.298636,0.4325,-0.7488,-0.1513,0.878,2.076114727044528,163.50586303777254,1.1572373254959594,flat_noshoes_data
16.320106,0.9066,-0.7669,1.214,1.698,1.881219346593172,155.4270201736035,1.193975018368846,flat_noshoes_data
16.340187,0.511,-0.1041,2.5879,2.64,1.8143203685966924,101.14314927690529,1.2307127112417362,flat_noshoes_data
16.361625,0.1364,0.2191,3.1009,3.112,1.8673466364611488,156.97410862970648,1.2674504041146228,flat_noshoes_data
16.380053,0.4329,0.1715,1.2719,1.354,2.0266784629460406,151.89152187021904,1.3041880969875095,flat_noshoes_data
16.400775,1.1276,0.2928,-0.6503,1.334,2.273986566557815,36.38041579644934,1.3409257898603961,flat_noshoes_data
16.419995,0.8101,-0.0227,-0.0083,0.81,2.586795162438154,136.41166759103163,1.3776634827332863,flat_noshoes_data
16.441342,-0.6436,-0.644,2.4773,2.639,2.93928300930932,37.01370597811176,1.414401175606173,flat_noshoes_data
16.459726,-2.0893,-0.7382,3.3784,4.04,3.303847143014024,62.85206609251013,1.4511388684790596,flat_noshoes_data
16.480801,-3.0325,-0.4675,4.0092,5.049,3.653473578888749,42.216278239770034,1.4878765613519498,flat_noshoes_data
16.499955,-3.1387,-0.5529,4.4823,5.5,3.9643924660256906,151.32263553212138,1.5246142542248364,flat_noshoes_data
16.521091,-3.1048,-1.236,1.9049,3.847,4.218285021644859,44.24456172006517,1.561351947097723,flat_noshoes_data
16.541493,-4.1244,-1.9345,-0.8872,4.641,4.403599842722604,101.67239322930187,1.5980896399706097,flat_noshoes_data
16.560656,-3.66,-3.6515,1.4174,5.361,4.51604105049034,128.56597321094446,1.6348273328435,flat_noshoes_data
16.582845,-2.9184,-4.3135,3.3041,6.168,4.558504584537222,138.12230506724228,1.6715650257163865,flat_noshoes_data
16.602773,-1.8574,-3.9686,3.2459,5.453,4.540493053913381,34.892596746285804,1.7083027185892732,flat_noshoes_data
16.635442,-1.512,-3.4482,3.1366,4.9,4.476744300991719,261.492811036789,1.7450404114621598,flat_noshoes_data
16.640714,-0.7484,-1.6688,1.5489,2.397,4.384910326133349,515.0150330958371,1.78177810433505,flat_noshoes_data
16.672173,0.4246,-0.1722,1.0592,1.154,4.282620672879316,452.4336836966445,1.8185157972079367,flat_noshoes_data
16.681072,2.0957,0.2371,1.1208,2.388,4.184825741181908,514.8332683026953,1.8552534900808233,flat_noshoes_data
16.701066,2.4046,-2.3978,-2.0527,3.968,4.102468810564773,330.14658458965715,1.89199118295371,flat_noshoes_data
16.721078,2.0195,-4.2402,-4.1153,6.244,4.042965528384069,146.49254478594762,1.9287288758266001,flat_noshoes_data
16.741146,1.248,-4.4996,-6.6536,8.129,4.011931507632208,51.388542469775,1.9654665686994868,flat_noshoes_data
16.763843,-0.6597,-2.5605,-1.8851,3.247,4.014806545860974,103.72673545898378,2.0022042615723734,flat_noshoes_data
16.781876,-0.5648,-0.5407,-0.1064,0.789,4.05718477650396,41.08692647172115,2.0389419544452636,flat_noshoes_data
16.803496,-0.2659,-0.7491,-3.9492,4.028,4.143858075807138,106.18998780826492,2.0756796473181502,flat_noshoes_data
16.821601,-0.6952,-0.5226,-3.2881,3.401,4.277719336551696,29.252432613328,2.112417340191037,flat_noshoes_data
16.841874,-0.9571,0.0605,-4.399,4.502,4.459564493874583,71.5258816682019,2.1491550330639235,flat_noshoes_data
16.866044,-0.0799,1.6674,-6.4265,6.64,4.688885520369014,42.48190938036326,2.1858927259368137,flat_noshoes_data
16.881595,0.356,3.6553,-3.7816,5.272,4.9650896310131305,24.130852287715673,2.2226304188097004,flat_noshoes_data
16.901929,1.1695,4.1924,-3.4135,5.531,5.288480350137419,41.50100491584099,2.259368111682587,flat_noshoes_data
16.922178,1.8918,4.4868,-5.4763,7.328,5.660575422186074,36.23026754717649,2.2961058045554736,flat_noshoes_data
16.942409,1.1587,4.8766,-5.0279,7.1,6.083644233334202,40.41919391595544,2.332843497428364,flat_noshoes_data
16.964065,0.3165,4.5812,-4.2462,6.254,6.559424241010287,23.982911619734992,2.3695811903012505,flat_noshoes_data
16.982103,0.3365,4.8166,-3.8554,6.179,7.086996261811028,49.721824191327336,2.406318883174137,flat_noshoes_data
17.002567,1.1161,5.2501,-2.3388,5.855,7.660103045436828,39.79436204614172,2.4430565760470238,flat_noshoes_data
17.026584,1.5632,4.7175,-1.5533,5.207,8.26459609875421,33.092159585833556,2.479794268919914,flat_noshoes_data
17.047798,1.1547,2.9287,-0.9774,3.296,8.876924057980496,18.805324896809267,2.5165319617928006,flat_noshoes_data
17.075597,1.1909,-3.6567,3.9239,5.494,9.464734164334796,32.03401484918675,2.5532696546656872,flat_noshoes_data
17.08286,1.5466,-17.3359,12.2463,21.281,9.990476725000688,34.519094138368736,2.590007347538574,flat_noshoes_data
17.102932,-1.4075,-14.9694,8.8138,17.428,10.417441082363919,25.720809266026706,2.626745040411464,flat_noshoes_data
17.124779,1.1653,0.7835,4.418,4.636,10.71544330166854,31.703535617391843,2.6634827332843507,flat_noshoes_data
17.147012,5.6961,7.0283,-0.8734,9.089,10.863410094616835,121.06587451492337,2.7002204261572373,flat_noshoes_data
17.162959,7.5601,0.8225,-4.3759,8.774,10.84918043489208,51.66788498851558,2.7369581190301275,flat_noshoes_data
17.186563,4.1605,-13.8556,-10.4717,17.859,10.669063047413845,100.12706729071708,2.773695811903014,flat_noshoes_data
17.204328,0.2444,-6.4791,-10.7275,12.535,10.328326973213395,36.33832679997642,2.810433504775901,flat_noshoes_data
17.225157,1.8648,6.6965,-1.1652,7.048,9.84136520611196,38.89773025409759,2.8471711976487875,flat_noshoes_data
17.243444,-0.0042,6.708,-0.6921,6.744,9.230125031918197,8.508769492270543,2.8839088905216776,flat_noshoes_data
17.264923,-1.1951,6.2169,6.5761,9.128,8.521251065046817,20.735273096460773,2.9206465833945643,flat_noshoes_data
17.284348,0.1736,3.4824,4.5721,5.75,7.743502137046592,17.830547378073955,2.957384276267451,flat_noshoes_data
17.306284,-0.8538,-3.1259,-5.9902,6.81,6.926339026933042,11.329446379918371,2.9941219691403376,flat_noshoes_data
17.32766,-4.4307,-5.6548,-6.6071,9.76,6.099564344270356,18.34086223255293,3.0308596620132278,flat_noshoes_data
17.352201,-5.8071,-2.3347,-0.8433,6.315,5.293392422504574,10.489666272776578,3.0675973548861144,flat_noshoes_data
