time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.007283,0.9233,-0.6875,-0.4793,1.247
0.027064,0.5879,-0.9013,0.0781,1.079
0.047646,0.3737,-1.2262,1.1008,1.690
0.067737,0.6458,-1.0810,1.7308,2.140
0.087972,0.1227,-0.9876,2.0760,2.302
0.109669,0.6763,-0.7313,2.1665,2.384
0.127604,0.9000,-1.2888,1.8036,2.392
0.150447,0.7154,-1.9321,1.4973,2.547
0.167967,0.2251,-2.3661,0.1905,2.384
0.189808,0.1216,-2.8407,-0.8136,2.957
0.207891,0.5655,-3.3729,-0.5564,3.465
0.229746,1.3351,-2.7618,-1.3125,3.337
0.248632,1.6280,-1.3872,-2.9101,3.612
0.269838,1.8760,-0.4783,-3.3252,3.848
0.288325,1.7065,-0.6329,-3.4464,3.898
0.309942,1.1616,-1.0565,-1.6091,2.248
0.328563,-1.3829,-1.8972,-0.3297,2.371
0.351557,-1.2926,-1.1525,0.0272,1.732
0.368739,1.1864,-0.1031,-0.3989,1.256
0.389849,3.2316,0.1675,-0.0848,3.237
0.408960,0.6337,-0.5864,-0.9401,1.276
0.430278,1.2163,0.9265,-0.8977,1.773
0.448852,2.4648,1.4403,-3.2660,4.338
0.470929,3.1567,2.6083,-2.4387,4.766
0.488699,1.5484,2.0592,1.1120,2.806
0.509045,-1.4562,0.1582,0.2888,1.493
0.529209,-0.9179,0.3118,-1.1281,1.487
0.550032,0.5077,0.2596,-0.3949,0.694
0.569737,-0.1848,-0.9943,1.6698,1.952
0.589905,0.3064,-1.0144,1.3906,1.748
0.609397,-0.0111,-0.6600,-1.9660,2.074
0.629539,0.3605,0.3308,-3.6415,3.674
0.649532,3.5663,1.7224,-0.0188,3.961
0.670088,2.8885,1.1243,3.4917,4.669
0.689705,0.7525,-0.2796,1.7254,1.903
0.710387,1.4649,0.4963,-0.4773,1.619
0.731921,2.1796,0.9210,-0.2573,2.380
0.751363,2.2224,-0.0792,0.7476,2.346
0.772206,2.2139,0.0141,0.5897,2.291
0.792191,0.9311,-0.1818,-1.4117,1.701
0.810064,-1.1149,-0.6590,3.2253,3.476
0.831185,-2.0233,-0.9886,3.5843,4.233
0.852166,-3.1212,-1.3466,0.1756,3.404
0.871249,-2.7877,-0.4648,-0.4342,2.859
0.892813,-3.4390,0.1594,-0.8895,3.556
0.911455,-5.3277,-2.2178,0.1902,5.774
0.946597,-0.2627,-0.9620,0.3572,1.059
0.952446,2.3492,-0.7611,-1.7217,3.010
0.972914,2.4185,-1.5730,-2.5355,3.841
0.992474,2.6619,-1.0127,-0.1927,2.855
1.014899,5.1040,-0.1078,-1.0889,5.220
1.033653,-0.6692,-4.9653,-2.3496,5.534
1.055547,-1.5559,-5.0140,3.1228,6.108
1.082061,-0.7262,-4.7419,0.0769,4.798
1.099863,1.8855,-3.6045,-0.4468,4.092
1.113250,4.1494,-0.8539,-0.8010,4.311
1.133485,1.9435,2.5212,-2.2457,3.896
1.154792,0.9901,5.9569,-3.6072,7.034
1.176778,1.1725,5.9885,-5.4896,8.208
1.194577,1.7576,3.3624,-4.8911,6.190
1.213932,2.8015,1.9930,-2.2605,4.115
1.233511,3.3522,2.5529,-1.1429,4.366
1.254299,2.9777,2.3712,-1.0742,3.955
1.275798,2.0039,2.4344,-0.8608,3.268
1.294265,0.4952,1.9058,0.7019,2.090
1.312425,-0.8088,0.2705,2.4027,2.550
1.335669,-2.7957,-3.0375,3.3359,5.308
1.354269,-3.9042,-6.7208,2.7248,8.236
1.373425,-1.6779,-4.4035,3.7877,6.046
1.395597,-1.0048,0.9878,5.0672,5.259
1.414058,1.3978,1.5091,1.5151,2.555
1.435234,2.4294,-1.1401,-1.3353,2.997
1.453468,1.9736,-6.0463,-5.9052,8.679
1.474591,5.7437,-0.0050,-5.5385,7.979
1.494002,7.7984,1.1100,2.5234,8.271
1.515251,0.5515,-3.6725,-1.8908,4.167
1.533619,-0.9616,0.8197,-5.1290,5.282
1.555422,1.8486,4.6679,-3.3600,6.041
1.574375,2.1508,2.5550,-8.1138,8.774
1.596160,1.0775,1.5077,-5.7952,6.084
1.614452,1.4237,0.2219,-1.6938,2.224
1.635720,1.8047,-0.8649,-3.3039,3.863
1.654132,1.9417,-2.6944,-5.6409,6.546
1.676820,2.1617,-3.2959,-3.9685,5.593
1.694278,2.7581,-1.7501,1.3608,3.539
1.716903,3.0826,-0.7274,3.9086,5.031
1.733955,2.4837,-1.2916,1.0663,2.996
1.757440,2.2317,-2.0004,-1.7096,3.450
1.774794,2.4639,11.2240,-0.2940,11.495
1.797439,0.8215,6.6617,-0.9423,6.778
1.814675,0.8031,-1.9663,-1.5136,2.608
1.837952,0.5289,-7.0309,0.7644,7.092
1.855101,-2.7543,-9.6243,4.4271,10.946
1.877596,-1.9564,1.8239,4.8574,5.545
1.895830,-1.3035,-0.2927,2.9761,3.262
1.916503,-3.9318,-3.3743,-0.1898,5.185
1.934742,-3.0889,-3.7037,1.5783,5.074
1.956883,-0.5527,-4.7744,8.5963,9.849
1.974752,-2.9004,-5.6386,5.9489,8.695
1.997231,-5.1338,-5.6534,-0.2990,7.642
2.015371,-4.7854,-5.8500,-3.2898,8.243
2.036833,-0.6120,-5.3163,-2.7776,6.029
2.059998,3.3048,-5.5813,-3.3925,7.320
2.078954,4.7102,-6.0129,-3.1815,8.274
2.100661,5.0629,-4.7787,-0.2491,6.966
2.118001,5.2127,-2.9592,0.1543,5.996
2.139443,3.4317,-1.6082,-6.6105,7.620
2.158562,1.2806,-0.0539,-3.0541,3.312
2.180232,0.8173,0.4214,-0.4615,1.029
2.198812,-0.1361,0.0408,-6.0814,6.083
2.216048,0.9569,2.0283,-8.3965,8.691
2.238839,1.5430,4.2298,-8.9155,9.988
2.260142,1.4903,3.6191,-6.0432,7.200
2.278937,2.2418,5.2137,-6.2912,8.473
2.300705,2.4972,6.1722,-6.5558,9.344
2.319253,2.5951,5.7671,-5.7083,8.519
2.340473,2.4407,4.1547,-4.6903,6.724
2.359372,2.4873,3.0632,-4.0971,5.688
2.379730,2.7406,3.1800,-3.0665,5.199
2.399798,2.7324,2.5563,0.7510,3.816
2.421255,2.7539,-0.6868,7.0044,7.558
2.439989,2.1947,-7.7311,14.5545,16.626
2.460879,-6.7613,-15.5962,10.4730,19.966
2.478975,-3.7289,-5.7618,1.6731,7.064
2.497716,4.5307,8.0558,2.0995,9.478
2.519080,11.0796,-0.5917,1.8927,11.256
2.540498,9.0120,-15.2393,-8.2033,19.513
2.560208,-1.4355,-8.4266,-9.4066,12.710
