time,ax,ay,az,atotal
0.004502296447753906,0.65,-0.41,-0.23,0.8
0.014417171478271484,0.01,-0.2,-0.65,0.68
0.02443218231201172,0.1,0.19,-1.2,1.21
0.034281253814697266,0.33,0.36,-1.58,1.65
0.044344186782836914,0.56,0.37,-1.7,1.82
0.05445408821105957,0.65,0.21,-1.6,1.73
0.06438398361206055,0.57,0.22,-1.31,1.44
0.07443618774414062,0.46,0.25,-0.77,0.93
0.08429312705993652,0.35,0.25,-0.32,0.53
0.09446310997009277,0.32,0.13,-0.25,0.42
0.10449409484863281,0.54,-0.01,-0.42,0.68
0.11438918113708496,1.04,-0.07,-0.87,1.35
0.12441015243530273,1.3,-0.35,-1.53,2.03
0.13426709175109863,0.97,-1.06,-2.01,2.47
0.14437627792358398,0.7,-1.66,-2.16,2.81
0.1544332504272461,0.84,-1.76,-2.56,3.21
0.16443824768066406,1.14,-1.5,-2.93,3.48
0.17440319061279297,1.13,-1.03,-2.96,3.33
0.1842641830444336,0.98,-1.09,-3.35,3.65
0.19438505172729492,0.9,-1.24,-3.83,4.12
0.2043910026550293,0.7,-1.11,-4.03,4.23
0.21440911293029785,0.39,-1.06,-3.7,3.86
0.22440218925476074,0.17,-0.96,-2.69,2.86
0.2341921329498291,0.26,-0.74,-1.34,1.55
0.24430131912231445,0.63,-0.32,-0.35,0.78
0.25437498092651367,1.17,-0.18,-0.16,1.19
0.26439428329467773,1.28,-0.37,-0.42,1.39
0.2743692398071289,1.33,-0.32,-0.79,1.57
0.2842121124267578,1.15,-0.31,-0.77,1.41
0.2943592071533203,0.75,-0.76,-0.7,1.27
0.3044552803039551,0.52,-0.82,-1.17,1.52
0.31431102752685547,0.59,-0.76,-1.77,2.01
0.32431912422180176,0.6,-1.08,-1.59,2.01
0.33417606353759766,0.14,-1.6,-1.31,2.07
0.34432506561279297,-0.52,-1.75,-1.14,2.15
0.35434913635253906,-0.97,-1.42,-1.31,2.16
0.3643059730529785,-0.37,-1.28,-1.66,2.12
0.374420166015625,-0.36,-1.01,-1.88,2.16
0.38417816162109375,-0.85,-0.53,-2.16,2.38
0.39430809020996094,-0.96,-0.45,-2.16,2.4
0.4042940139770508,-0.92,-0.35,-2.13,2.34
0.4143199920654297,-0.36,-0.33,-2.27,2.32
0.4243021011352539,0.26,-0.74,-2.34,2.46
0.4341549873352051,0.68,-1.18,-2.21,2.59
0.44426822662353516,1.15,-1.7,-2.24,3.03
0.45436906814575195,1.12,-1.81,-2.6,3.36
0.464306116104126,0.96,-2.04,-2.94,3.7
0.4743211269378662,0.63,-2.28,-2.95,3.78
0.48426198959350586,-0.06,-2.34,-2.42,3.36
0.49454832077026367,-0.35,-2.52,-1.72,3.07
0.5043692588806152,-0.47,-2.61,-1.61,3.1
