time,ax,ay,az,atotal
0.015404224395751953,0.02,-0.11,0.03,0.11
0.01718616485595703,-0.02,-0.06,-0.39,0.39
0.0227510929107666,-0.32,-0.05,-0.52,0.61
0.03296208381652832,-0.48,0.01,-0.41,0.63
0.04291820526123047,-0.38,-0.01,-0.22,0.43
0.05357694625854492,-0.17,-0.04,-0.06,0.18
0.06389307975769043,-0.13,-0.01,0.08,0.15
0.07423710823059082,-0.09,0.05,0.14,0.17
0.09078693389892578,-0.02,0.03,0.1,0.1
0.09309506416320801,0.04,-0.04,0.05,0.07
0.11232304573059082,0.04,-0.01,-0.01,0.04
0.11349916458129883,-0.06,-0.03,-0.05,0.08
0.12293410301208496,-0.07,-0.07,-0.06,0.11
0.13305997848510742,-0.04,-0.05,0.02,0.06
0.1438910961151123,-0.02,-0.04,0.17,0.17
0.15299320220947266,0.05,-0.02,0.23,0.23
0.16407489776611328,0.09,-0.03,0.22,0.23
0.17395496368408203,0.09,-0.07,0.21,0.23
0.18986105918884277,0.06,-0.03,0.15,0.16
0.19356918334960938,0.1,-0.04,0.12,0.16
0.21378612518310547,0.12,-0.02,0.12,0.17
0.2147059440612793,0.1,-0.03,0.26,0.28
0.2220301628112793,0.24,-0.03,0.46,0.51
0.23296022415161133,0.22,-0.1,0.61,0.65
0.2439279556274414,0.06,-0.13,0.75,0.76
0.25391602516174316,0.12,-0.12,0.72,0.73
0.2637300491333008,0.1,-0.16,0.72,0.74
0.27432823181152344,0.02,-0.16,0.77,0.78
0.29183006286621094,-0.03,-0.07,0.81,0.81
0.2938070297241211,-0.04,-0.09,0.99,0.99
0.31470394134521484,-0.01,-0.13,1.18,1.18
0.31594419479370117,0.04,-0.13,1.3,1.3
0.32299089431762695,0.12,-0.14,1.41,1.42
0.33283400535583496,0.19,-0.15,1.43,1.45
0.34372401237487793,0.11,-0.13,1.5,1.5
0.35408902168273926,-0.04,-0.17,1.58,1.58
0.363955020904541,-0.12,-0.29,1.59,1.62
0.37403392791748047,-0.09,-0.3,1.63,1.65
0.3908390998840332,0.1,-0.36,1.54,1.58
0.39311695098876953,0.2,-0.5,1.45,1.54
0.4132709503173828,0.29,-0.51,1.56,1.66
0.4144630432128906,0.33,-0.54,1.49,1.61
0.4229922294616699,0.4,-0.61,1.33,1.51
0.4328641891479492,0.63,-0.6,1.25,1.52
0.4434630870819092,0.63,-0.75,1.14,1.5
0.45392704010009766,0.62,-0.89,0.9,1.4
0.4639401435852051,0.86,-0.88,0.81,1.47
0.4739570617675781,1.19,-0.85,0.69,1.61
0.49147701263427734,1.23,-1.12,0.47,1.72
0.4933340549468994,0.54,-1.98,1.19,2.37
0.5143651962280273,0.24,-2.39,0.72,2.5
0.5155410766601562,-3.05,-0.46,-14.95,15.26
0.5235590934753418,-5.63,0.59,-14.47,15.53
0.5329480171203613,-4.75,-0.29,1.45,4.97
0.5430002212524414,-1.39,0.01,4.52,4.72
0.5535240173339844,0.77,-0.19,-0.19,0.81
0.5640730857849121,0.98,-1.11,-2.02,2.5
0.5744409561157227,0.26,-0.49,0.09,0.56
0.5905730724334717,-0.34,-0.47,1.53,1.63
0.5933120250701904,-0.49,-0.71,0.17,0.87
0.6155891418457031,-0.62,-0.05,-0.69,0.92
0.6174511909484863,-0.29,-0.8,-0.06,0.85
0.622920036315918,0.39,-1.28,0.08,1.34
0.6328639984130859,1.33,0.09,0.28,1.36
0.6428940296173096,2.52,1.39,-0.41,2.9
0.6534109115600586,1.9,1.51,-0.45,2.46
0.6638820171356201,1.1,1.74,-0.67,2.16
0.6741640567779541,0.29,1.42,-1.07,1.8
0.690986156463623,-0.33,-0.33,-0.66,0.8
0.6930351257324219,0.0,-1.47,-0.67,1.61
0.7175021171569824,0.41,-1.27,0.18,1.34
0.7186760902404785,1.03,-1.92,1.26,2.51
0.7229619026184082,0.83,0.42,1.09,1.43
0.7328100204467773,-0.21,2.76,0.51,2.81
0.7428600788116455,-1.12,2.02,-0.1,2.31
0.7535820007324219,-1.26,1.59,-0.73,2.15
0.7639069557189941,-1.19,1.22,-0.5,1.77
0.7743291854858398,-0.69,0.88,0.14,1.12
0.7903170585632324,-0.32,1.04,0.51,1.2
0.7930450439453125,-0.25,1.11,0.55,1.26
0.8155760765075684,-0.47,0.38,0.29,0.67
0.8174419403076172,-0.91,0.48,0.0,1.02
0.8227229118347168,-1.27,1.42,-0.07,1.9
0.8330268859863281,-0.97,2.37,-0.62,2.63
0.8429751396179199,-0.63,2.98,-0.45,3.07
0.852668046951294,-0.09,0.68,-0.82,1.06
0.8636679649353027,0.59,-1.51,-1.35,2.1
0.8745090961456299,1.81,-1.45,-3.91,4.54
0.8906459808349609,1.99,-1.89,-4.08,4.91
0.8930501937866211,1.38,-2.21,0.51,2.65
0.9142770767211914,1.23,-3.11,2.37,4.09
0.9154460430145264,0.78,-2.85,2.09,3.61
0.9225502014160156,-0.25,-1.74,1.43,2.26
0.9327402114868164,-1.36,-0.28,0.65,1.53
0.9427900314331055,-2.27,0.74,0.01,2.38
0.9534571170806885,-2.61,1.02,-0.3,2.81
0.9638872146606445,-1.89,0.65,-0.22,2.01
0.9738421440124512,-0.62,-0.11,0.18,0.65
0.9902100563049316,-0.02,-0.57,0.55,0.79
0.9931111335754395,0.09,-0.45,0.31,0.55
1.0143280029296875,0.18,0.05,-0.51,0.54
1.0155060291290283,0.23,0.24,-1.0,1.05
1.0225470066070557,0.1,0.02,-0.76,0.76
1.0327582359313965,-0.25,-0.26,-0.23,0.42
1.0428709983825684,-0.7,-0.22,-0.04,0.73
1.0536010265350342,-1.08,0.06,-0.23,1.1
1.0635690689086914,-1.28,0.17,-0.34,1.33
1.0737340450286865,-1.2,0.03,-0.05,1.2
1.0914969444274902,-0.74,-0.17,0.17,0.77
1.0933380126953125,-0.23,-0.29,0.12,0.38
1.1155929565429688,0.11,-0.32,0.12,0.35
1.1173770427703857,0.12,-0.21,0.28,0.37
1.1230080127716064,-0.09,-0.01,0.4,0.41
1.1328039169311523,-0.47,0.06,0.34,0.58
1.142867088317871,-1.05,-0.05,0.11,1.05
1.1534051895141602,-1.54,-0.15,-0.1,1.55
1.163762092590332,-1.71,-0.05,-0.14,1.71
1.1742849349975586,-1.56,0.09,0.03,1.56
1.1908369064331055,-1.21,0.03,0.39,1.27
1.192997932434082,-0.68,-0.26,0.52,0.89
1.2150201797485352,-0.17,-0.44,0.29,0.55
1.2162151336669922,0.21,-0.24,-0.26,0.41
1.2230401039123535,0.53,0.12,-0.91,1.05
1.232698917388916,0.76,0.15,-0.99,1.25
